,word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
0,laughter,1,8.5,0.9313,3600,--,--,1728
1,happiness,2,8.44,0.9723,1853,2458,--,1230
2,love,3,8.42,1.1082,25,317,328,23
3,happy,4,8.3,0.9949,65,1372,1313,375
4,laughed,5,8.26,1.1572,3334,3542,--,2332
5,laugh,6,8.22,1.3746,1002,3998,4488,647
6,laughing,7,8.2,1.1066,1579,--,--,1122
7,excellent,8,8.18,1.1008,1496,1756,3155,--
8,laughs,9,8.18,1.1551,3554,--,--,2856
9,joy,10,8.16,1.0568,988,2336,2723,809
10,successful,11,8.16,1.0759,2176,1198,1565,--
11,win,12,8.12,1.0812,154,3031,776,694
12,rainbow,13,8.1,0.9949,2726,--,--,1723
13,smile,14,8.1,1.0152,925,2666,2898,349
14,won,15,8.1,1.2164,810,1167,439,1493
15,pleasure,16,8.08,0.9655,1497,1526,4253,1398
16,smiled,17,8.08,1.066,--,3537,--,2248
17,rainbows,18,8.06,1.3603,--,--,--,4216
18,winning,19,8.04,1.049,1876,--,1426,3646
19,celebration,20,8.02,1.5318,3306,--,2762,4070
20,enjoyed,21,8.02,1.5318,1530,2908,3502,--
21,healthy,22,8.02,1.0593,1393,3200,3292,4619
22,music,23,8.02,1.1156,132,875,167,374
23,celebrating,24,8.0,1.1429,2550,--,--,--
24,congratulations,25,8.0,1.6288,2246,--,--,--
25,weekend,26,8.0,1.2936,317,--,833,2256
26,celebrate,27,7.98,1.1516,1606,--,3574,2108
27,comedy,28,7.98,1.1516,1444,--,2566,--
28,jokes,29,7.98,0.9792,2812,--,--,3808
29,rich,30,7.98,1.3169,1625,1221,1469,890
30,victory,31,7.98,1.0784,1809,2341,687,2845
31,christmas,32,7.96,1.293,138,3846,2097,599
32,free,33,7.96,1.261,85,342,393,219
33,friendship,34,7.96,1.1241,4273,3098,3669,3980
34,fun,35,7.96,1.3087,110,4135,2189,463
35,holidays,36,7.96,1.261,1204,--,--,--
36,loved,37,7.96,1.1599,465,2178,890,517
37,loves,38,7.96,1.3696,780,--,--,653
38,loving,39,7.96,1.0093,947,4396,230,527
39,beach,40,7.94,1.0577,573,3596,551,1475
40,hahaha,41,7.94,1.5572,428,--,--,--
41,kissing,42,7.94,1.1323,--,--,--,2052
42,sunshine,43,7.94,1.1678,2080,--,--,950
43,beautiful,44,7.92,1.1753,266,1159,1754,467
44,delicious,45,7.92,1.2591,1565,--,--,--
45,friends,46,7.92,1.1925,258,658,347,321
46,funny,47,7.92,1.0467,358,--,3194,755
47,outstanding,48,7.92,1.14,4468,4721,1797,--
48,paradise,49,7.92,1.3974,3096,--,--,1146
49,sweetest,50,7.92,1.2911,--,--,--,2232
50,vacation,51,7.92,1.9042,952,--,3251,3780
51,butterflies,52,7.92,1.077,--,--,--,4175
52,freedom,53,7.9,1.4178,1465,933,1844,879
53,flower,54,7.88,1.1718,2769,3675,--,1929
54,great,55,7.88,1.2061,94,110,219,579
55,sunlight,56,7.88,1.4934,--,--,--,2316
